 Address,住所,
 Amount,額,
 BOM,ボム,
 Is Child Table,チャイルドテーブルです,
 Is Subcontracted,下請けされています,
 Item,アイテム,
 Name,名前,
 Rate,レート,
 Raw Material,原材料,
 Reserve Stock,予備株,
 Skip Material Transfer,素材の転送をスキップします,
 Sub Assembly,サブアセンブリ,
 Summary,まとめ,
"""Customer Provided Item"" cannot be Purchase Item also",「顧客提供されたアイテム」も購入することはできません,
"""Customer Provided Item"" cannot have Valuation Rate",「顧客提供されたアイテム」は評価率を持つことはできません,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",資産記録がアイテムに対して存在するため、「固定資産」はチェックされません,
"""SN-01::10"" for ""SN-01"" to ""SN-10""",「SN-01」から「SN-10」の「SN-01 :: 10」,
# In Stock,＃ 在庫あり,
# Req'd Items,＃req'dアイテム,
%  Delivered,％配信,
% Amount Billed,請求された％,
% Billed,％請求,
% Complete Method,％完全な方法,
% Completed,％完成,
% Delivered,％配信,
% Finished Item Quantity,％完成したアイテム数量,
% Installed,％インストール,
% Occupied,％占有,
% Of Grand Total,総計の％,
% Ordered,％注文,
% Picked,％を選んだ,
% Process Loss,％プロセス損失,
% Progress,％ 進捗,
% Received,％ 受け取った,
% Returned,返された％,
% of materials billed against this Sales Order,この販売注文に対して請求された資料の％,
% of materials delivered against this Pick List,このピックリストに対して配信された材料の％,
% of materials delivered against this Sales Order,この販売注文に対して提供された資料の％,
'Account' in the Accounting section of Customer {0},顧客の会計セクションの「アカウント」{0},
'Allow Multiple Sales Orders Against a Customer's Purchase Order',「顧客の発注書に対して複数の販売注文を許可する」,
'Based On' and 'Group By' can not be same,「基にして」と「グループ」は同じではありません,
'Days Since Last Order' must be greater than or equal to zero,「最後の注文からの日」はゼロ以上でなければなりません,
'Default {0} Account' in Company {1},会社の「デフォルト{0}アカウント」{1},
'Entries' cannot be empty,「エントリ」は空にすることはできません,
'From Date' is required,「日付から」が必要です,
'From Date' must be after 'To Date',「日付から」は「現在まで」の後になければなりません,
'Has Serial No' can not be 'Yes' for non-stock item,「シリアルいいえ」は、非在庫のアイテムの「はい」ではありません,
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",「配達前に必要な検査」がアイテムのために無効になっている{0}、qiを作成する必要はありません,
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",「購入前に必要な検査」がアイテム{0}に対して無効になっているため、QIを作成する必要はありません,
