 Address, Adres,
 Amount, Tutar,
 BOM, Ürün Ağacı,
 Is Child Table, Alt Tablo,
 Is Subcontracted,Alt  Yüklenici,
 Item, Ürün,
 Name,İsim,
 Rate, Fiyat,
 Raw Material, Hammadde,
 Reserve Stock, Stok Rezervi,
 Skip Material Transfer, Malzeme Transferini Geç,
 Sub Assembly, Alt Montaj,
 Summary, Özet,
"""Customer Provided Item"" cannot be Purchase Item also","""Müşterinin Tedarik Ettiği Ürün"" aynı zamanda Satın Alma Ürünü olamaz.",
"""Customer Provided Item"" cannot have Valuation Rate","""Müşterinin Tedarik Ettiği Ürün"" Değerleme Oranına sahip olamaz.",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","Varlık kaydı yapıldığından, 'Sabit Varlık' seçimi kaldırılamaz.",
"""SN-01::10"" for ""SN-01"" to ""SN-10""",“SN-01::10” için “SN-01” ile “SN-10”,
# In Stock,# Stokta,
# Req'd Items,# Gerekli Ürünler,
%  Delivered,%  Teslim Edildi,
% Amount Billed,% Faturalandırılan Tutar,
% Billed,% Faturalandırıldı,
% Complete Method,Tamamlanma Yüzdesi Yöntemi,
% Completed,% Tamamlandı,
% Delivered,% Teslim Edildi,
% Finished Item Quantity,% Bitmiş Ürün Miktarı,
% Installed,% Tamamlandı,
% Occupied,% Dolu,
% Of Grand Total,% Genel Toplam,
% Ordered,% Sipariş Verildi,
% Picked,% Hazır,
% Process Loss,% Proses Kaybı,
% Progress,% İlerleme,
% Received,% Teslim Alındı,
% Returned,% İade Edildi,
% of materials billed against this Sales Order,Bu Satış Siparişine göre faturalandırılan malzemelerin yüzdesi,
% of materials delivered against this Sales Order,Satış Siparişine karşılık teslim edilen malzemelerin yüzdesi,
'Account' in the Accounting section of Customer {0},{0} isimli Müşterinin Muhasebe bölümündeki ‘Hesap’,
'Allow Multiple Sales Orders Against a Customer's Purchase Order','Müşterinin Satın Alma Siparişine Karşı Çoklu Satış Siparişlerine İzin Ver',
'Based On' and 'Group By' can not be same,'Şuna Göre' ve 'Gruplandırma Ölçütü' aynı olamaz,
'Days Since Last Order' must be greater than or equal to zero,'Son Siparişten bu yana geçen süre' sıfırdan büyük veya sıfıra eşit olmalıdır,
'Default {0} Account' in Company {1},Şirket {1} için Varsayılan {0} Hesabı,
'Entries' cannot be empty,'Girdiler' boş olamaz,
'From Date' is required,'Başlangıç Tarihi' alanı zorunlu,
'From Date' must be after 'To Date',Başlangıç Tarihi Bitiş Tarihinden önce olmalıdır,
'Has Serial No' can not be 'Yes' for non-stock item,Stokta olmayan ürünün 'Seri No' değeri 'Evet' olamaz.,
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","Teslimattan Önce Kalite Kontrol Gereklidir ayarı {0} ürünü için devre dışı bırakılmıştır, Kalite Kontrol Raporu oluşturmanıza gerek yok.",
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","Satın Alma Öncesi Kalite Kontrol Gereklidir ayarı {0} ürünü için devre dışı bırakılmıştır, Kalite Kontrol Raporu oluşturmanıza gerek yok.",
'Opening','Açılış',
'To Date' is required,Bitiş tarihi gereklidir,
'To Package No.' cannot be less than 'From Package No.','Hedef Paket No' 'Kaynak Paket No' dan az olamaz.,
'Update Stock' can not be checked because items are not delivered via {0},'Stok Güncelle' seçilemez çünkü ürünler {0} ile teslim edilmemiş.,
